,judul,tanggal,kategori,deskripsi,deskripsi_tokens,deskripsi_tokens_fdist,deskripsi_tokens_WSW,deskripsi_normalized,deskripsi_tokens_stemmed
0,"Bundling Vision+ dan Telkomsel, Makin Seru Streaming Konten Spesial Juni","Selasa, 28 Juni 2022 - 09:53 WIB",TELCO,di bulan juni ini vision hadir dengan berbagai konten menarik untuk menemani harihari anda lebih seru vision juga mengadakan paket bundling dengan telkomsel,"['di', 'bulan', 'juni', 'ini', 'vision', 'hadir', 'dengan', 'berbagai', 'konten', 'menarik', 'untuk', 'menemani', 'harihari', 'anda', 'lebih', 'seru', 'vision', 'juga', 'mengadakan', 'paket', 'bundling', 'dengan', 'telkomsel']",<FreqDist with 21 samples and 23 outcomes>,"['juni', 'vision', 'hadir', 'konten', 'menarik', 'menemani', 'harihari', 'seru', 'vision', 'mengadakan', 'paket', 'bundling', 'telkomsel']","['juni', 'vision', 'hadir', 'konten', 'menarik', 'menemani', 'harihari', 'seru', 'vision', 'mengadakan', 'paket', 'bundling', 'telkomsel']","['juni', 'vision', 'hadir', 'konten', 'tarik', 'tani', 'harihari', 'seru', 'vision', 'ada', 'paket', 'bundling', 'telkomsel']"
1,"Instagram Down, Pengguna Tumpahkan Keluhan di Twitter","Selasa, 28 Juni 2022 - 09:25 WIB",TELCO,media sosial instagram dilaporkan mengalami gangguan alias down siang ini selasa juni bahkan para pengguna instagram beramairamai mengeluh di twitter,"['media', 'sosial', 'instagram', 'dilaporkan', 'mengalami', 'gangguan', 'alias', 'down', 'siang', 'ini', 'selasa', 'juni', 'bahkan', 'para', 'pengguna', 'instagram', 'beramairamai', 'mengeluh', 'di', 'twitter']",<FreqDist with 19 samples and 20 outcomes>,"['media', 'sosial', 'instagram', 'dilaporkan', 'mengalami', 'gangguan', 'alias', 'down', 'siang', 'selasa', 'juni', 'pengguna', 'instagram', 'beramairamai', 'mengeluh', 'twitter']","['media', 'sosial', 'instagram', 'dilaporkan', 'mengalami', 'gangguan', 'alias', 'down', 'siang', 'selasa', 'juni', 'pengguna', 'instagram', 'beramairamai', 'mengeluh', 'twitter']","['media', 'sosial', 'instagram', 'lapor', 'alami', 'ganggu', 'alias', 'down', 'siang', 'selasa', 'juni', 'guna', 'instagram', 'beramairamai', 'keluh', 'twitter']"
2,"Daftar Kekayaan Sergey Brin, Pendiri Google yang Baru Saja Bercerai","Selasa, 28 Juni 2022 - 09:14 WIB",TELCO,daftar kekayaan sergey brin sebagian besar memang berasal dari google dan alphabet perusahaan teknologi raksasa yang ia dirikan,"['daftar', 'kekayaan', 'sergey', 'brin', 'sebagian', 'besar', 'memang', 'berasal', 'dari', 'google', 'dan', 'alphabet', 'perusahaan', 'teknologi', 'raksasa', 'yang', 'ia', 'dirikan']",<FreqDist with 18 samples and 18 outcomes>,"['daftar', 'kekayaan', 'sergey', 'brin', 'berasal', 'google', 'alphabet', 'perusahaan', 'teknologi', 'raksasa', 'dirikan']","['daftar', 'kekayaan', 'sergey', 'brin', 'berasal', 'google', 'alphabet', 'perusahaan', 'teknologi', 'raksasa', 'dirikan']","['daftar', 'kaya', 'sergey', 'brin', 'asal', 'google', 'alphabet', 'usaha', 'teknologi', 'raksasa', 'diri']"
3,Partai Perindo: Mars Partai Perindo dengan QR Code,,sponsored,lahir dari semangat untuk mengembalikan citacita kemerdekaan partai perindo hadir untuk membangun indonesia menjadi negara bersatu berdaulat adil dan makmur berlandaskan pancasila,"['lahir', 'dari', 'semangat', 'untuk', 'mengembalikan', 'citacita', 'kemerdekaan', 'partai', 'perindo', 'hadir', 'untuk', 'membangun', 'indonesia', 'menjadi', 'negara', 'bersatu', 'berdaulat', 'adil', 'dan', 'makmur', 'berlandaskan', 'pancasila']",<FreqDist with 21 samples and 22 outcomes>,"['lahir', 'semangat', 'mengembalikan', 'citacita', 'kemerdekaan', 'partai', 'perindo', 'hadir', 'membangun', 'indonesia', 'negara', 'bersatu', 'berdaulat', 'adil', 'makmur', 'berlandaskan', 'pancasila']","['lahir', 'semangat', 'mengembalikan', 'citacita', 'kemerdekaan', 'partai', 'perindo', 'hadir', 'membangun', 'indonesia', 'negara', 'bersatu', 'berdaulat', 'adil', 'makmur', 'berlandaskan', 'pancasila']","['lahir', 'semangat', 'kembali', 'citacita', 'merdeka', 'partai', 'perindo', 'hadir', 'bangun', 'indonesia', 'negara', 'satu', 'daulat', 'adil', 'makmur', 'landas', 'pancasila']"
4,"iPhone Paling Laris di Indonesia, Mana yang Sedang Anda Gunakan?","Selasa, 28 Juni 2022 - 08:41 WIB",GADGET,iphone paling laris di indonesia memang menjadi banyak pertanyaan sayangnya apple dan lembaga riset tidak merilis data resmi terkait penjualan apple di indonesia,"['iphone', 'paling', 'laris', 'di', 'indonesia', 'memang', 'menjadi', 'banyak', 'pertanyaan', 'sayangnya', 'apple', 'dan', 'lembaga', 'riset', 'tidak', 'merilis', 'data', 'resmi', 'terkait', 'penjualan', 'apple', 'di', 'indonesia']",<FreqDist with 20 samples and 23 outcomes>,"['iphone', 'laris', 'indonesia', 'sayangnya', 'apple', 'lembaga', 'riset', 'merilis', 'data', 'resmi', 'terkait', 'penjualan', 'apple', 'indonesia']","['iphone', 'laris', 'indonesia', 'sayangnya', 'apple', 'lembaga', 'riset', 'merilis', 'data', 'resmi', 'terkait', 'penjualan', 'apple', 'indonesia']","['iphone', 'laris', 'indonesia', 'sayang', 'apple', 'lembaga', 'riset', 'rilis', 'data', 'resmi', 'kait', 'jual', 'apple', 'indonesia']"
5,"Aplikasi Bawaan HP Xiaomi yang Boleh Dihapus, Jangan Salah Pilih!","Senin, 27 Juni 2022 - 19:20 WIB",GADGET,aplikasi bawaan hp xiaomi yang boleh dihapus penting diketahui oleh mi fans karena faktanya ada banyak aplikasi bawaan pada hp xiaomi yang bisa dihilangkan,"['aplikasi', 'bawaan', 'hp', 'xiaomi', 'yang', 'boleh', 'dihapus', 'penting', 'diketahui', 'oleh', 'mi', 'fans', 'karena', 'faktanya', 'ada', 'banyak', 'aplikasi', 'bawaan', 'pada', 'hp', 'xiaomi', 'yang', 'bisa', 'dihilangkan']",<FreqDist with 19 samples and 24 outcomes>,"['aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihapus', 'mi', 'fans', 'faktanya', 'aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihilangkan']","['aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihapus', 'mi', 'fans', 'faktanya', 'aplikasi', 'bawaan', 'hp', 'xiaomi', 'dihilangkan']","['aplikasi', 'bawa', 'hp', 'xiaomi', 'hapus', 'mi', 'fans', 'fakta', 'aplikasi', 'bawa', 'hp', 'xiaomi', 'hilang']"
6,"Aplikasi iPhone Terbaik yang Wajib Dimiliki, Download Sekarang Juga!","Senin, 27 Juni 2022 - 18:58 WIB",GADGET,aplikasi iphone terbaik yang wajib dimiliki perlu diketahui pengguna ios tentu saja agar mereka bisa mengoptimalkan penggunaan perangkat mereka juga bisa mendapatkan benefit dari berbagai aplikasi yang menarik,"['aplikasi', 'iphone', 'terbaik', 'yang', 'wajib', 'dimiliki', 'perlu', 'diketahui', 'pengguna', 'ios', 'tentu', 'saja', 'agar', 'mereka', 'bisa', 'mengoptimalkan', 'penggunaan', 'perangkat', 'mereka', 'juga', 'bisa', 'mendapatkan', 'benefit', 'dari', 'berbagai', 'aplikasi', 'yang', 'menarik']",<FreqDist with 24 samples and 28 outcomes>,"['aplikasi', 'iphone', 'terbaik', 'wajib', 'dimiliki', 'pengguna', 'ios', 'mengoptimalkan', 'penggunaan', 'perangkat', 'benefit', 'aplikasi', 'menarik']","['aplikasi', 'iphone', 'terbaik', 'wajib', 'dimiliki', 'pengguna', 'ios', 'mengoptimalkan', 'penggunaan', 'perangkat', 'benefit', 'aplikasi', 'menarik']","['aplikasi', 'iphone', 'baik', 'wajib', 'milik', 'guna', 'ios', 'optimal', 'guna', 'perangkat', 'benefit', 'aplikasi', 'tarik']"
7,Cara Menyembunyikan Last Seen WhatsApp dari Kontak Tertentu,"Senin, 27 Juni 2022 - 18:20 WIB",TELCO,cara menyembunyikan last seen whatsapp dari kontak tertentu penting diketahui sebab fitur ini erat hubungannya dengan privasi,"['cara', 'menyembunyikan', 'last', 'seen', 'whatsapp', 'dari', 'kontak', 'tertentu', 'penting', 'diketahui', 'sebab', 'fitur', 'ini', 'erat', 'hubungannya', 'dengan', 'privasi']",<FreqDist with 17 samples and 17 outcomes>,"['menyembunyikan', 'last', 'seen', 'whatsapp', 'kontak', 'fitur', 'erat', 'hubungannya', 'privasi']","['menyembunyikan', 'last', 'seen', 'whatsapp', 'kontak', 'fitur', 'erat', 'hubungannya', 'privasi']","['sembunyi', 'last', 'seen', 'whatsapp', 'kontak', 'fitur', 'erat', 'hubung', 'privasi']"
8,"10 Aplikasi Khusus Xiaomi Terbaik dan Gratis, Sangat Bermanfaat","Senin, 27 Juni 2022 - 16:20 WIB",GADGET,aplikasi khusus xiaomi terbaik dan gratis ini bisa jadi rekomendasi bagi pengguna untuk berekspresi xiaomi memang menjadi smartphone yang banyak dimiliki orang karena spesifikasinya yang tangguh,"['aplikasi', 'khusus', 'xiaomi', 'terbaik', 'dan', 'gratis', 'ini', 'bisa', 'jadi', 'rekomendasi', 'bagi', 'pengguna', 'untuk', 'berekspresi', 'xiaomi', 'memang', 'menjadi', 'smartphone', 'yang', 'banyak', 'dimiliki', 'orang', 'karena', 'spesifikasinya', 'yang', 'tangguh']",<FreqDist with 24 samples and 26 outcomes>,"['aplikasi', 'khusus', 'xiaomi', 'terbaik', 'gratis', 'rekomendasi', 'pengguna', 'berekspresi', 'xiaomi', 'smartphone', 'dimiliki', 'orang', 'spesifikasinya', 'tangguh']","['aplikasi', 'khusus', 'xiaomi', 'terbaik', 'gratis', 'rekomendasi', 'pengguna', 'berekspresi', 'xiaomi', 'smartphone', 'dimiliki', 'orang', 'spesifikasinya', 'tangguh']","['aplikasi', 'khusus', 'xiaomi', 'baik', 'gratis', 'rekomendasi', 'guna', 'ekspres', 'xiaomi', 'smartphone', 'milik', 'orang', 'spesifikasi', 'tangguh']"
9,Penyebab dan Cara Mengatasi WhatsApp Tidak Bisa Mengirim Pesan,"Senin, 27 Juni 2022 - 14:32 WIB",TELCO,penyebab dan cara mengatasi whatsapp tidak bisa mengirim pesan perlu diketahui agar komunikasi bisa terjalin lancar,"['penyebab', 'dan', 'cara', 'mengatasi', 'whatsapp', 'tidak', 'bisa', 'mengirim', 'pesan', 'perlu', 'diketahui', 'agar', 'komunikasi', 'bisa', 'terjalin', 'lancar']",<FreqDist with 15 samples and 16 outcomes>,"['penyebab', 'mengatasi', 'whatsapp', 'mengirim', 'pesan', 'komunikasi', 'terjalin', 'lancar']","['penyebab', 'mengatasi', 'whatsapp', 'mengirim', 'pesan', 'komunikasi', 'terjalin', 'lancar']","['sebab', 'atas', 'whatsapp', 'kirim', 'pesan', 'komunikasi', 'jalin', 'lancar']"
10,"Begini Cara Menyimpan Nomor di WhatsApp Web, Mudah Banget","Senin, 27 Juni 2022 - 14:02 WIB",TELCO,cara menyimpan nomor di whatsapp web bisa dilakukan dengan mudah dengan memahami ulasan ini pengguna tidak perlu bingung lagi untuk menyimpan nomor pengguna lain melalui whatsapp web,"['cara', 'menyimpan', 'nomor', 'di', 'whatsapp', 'web', 'bisa', 'dilakukan', 'dengan', 'mudah', 'dengan', 'memahami', 'ulasan', 'ini', 'pengguna', 'tidak', 'perlu', 'bingung', 'lagi', 'untuk', 'menyimpan', 'nomor', 'pengguna', 'lain', 'melalui', 'whatsapp', 'web']",<FreqDist with 21 samples and 27 outcomes>,"['menyimpan', 'nomor', 'whatsapp', 'web', 'mudah', 'memahami', 'ulasan', 'pengguna', 'bingung', 'menyimpan', 'nomor', 'pengguna', 'whatsapp', 'web']","['menyimpan', 'nomor', 'whatsapp', 'web', 'mudah', 'memahami', 'ulasan', 'pengguna', 'bingung', 'menyimpan', 'nomor', 'pengguna', 'whatsapp', 'web']","['simpan', 'nomor', 'whatsapp', 'web', 'mudah', 'paham', 'ulas', 'guna', 'bingung', 'simpan', 'nomor', 'guna', 'whatsapp', 'web']"
11,"Punya 60 Mode Olahraga, Amazfit BIP 3 Pro Dilengkapi GPS dan Sensor Jantung","Senin, 27 Juni 2022 - 09:35 WIB",ELEKTRONIK,amazfit kembali merilis ham tangan pintar terbaru seri tersebut bip pro yang didedikasikan bagi para pecinta olahraga dan gaya hidup sehat kali ini kami pun berkesempatan untuk mereview jam tangan pintar seri bip pro,"['amazfit', 'kembali', 'merilis', 'ham', 'tangan', 'pintar', 'terbaru', 'seri', 'tersebut', 'bip', 'pro', 'yang', 'didedikasikan', 'bagi', 'para', 'pecinta', 'olahraga', 'dan', 'gaya', 'hidup', 'sehat', 'kali', 'ini', 'kami', 'pun', 'berkesempatan', 'untuk', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']",<FreqDist with 29 samples and 34 outcomes>,"['amazfit', 'merilis', 'ham', 'tangan', 'pintar', 'terbaru', 'seri', 'bip', 'pro', 'didedikasikan', 'pecinta', 'olahraga', 'gaya', 'hidup', 'sehat', 'kali', 'berkesempatan', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']","['amazfit', 'merilis', 'ham', 'tangan', 'pintar', 'terbaru', 'seri', 'bip', 'pro', 'didedikasikan', 'pecinta', 'olahraga', 'gaya', 'hidup', 'sehat', 'kali', 'berkesempatan', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']","['amazfit', 'rilis', 'ham', 'tangan', 'pintar', 'baru', 'seri', 'bip', 'pro', 'dedikasi', 'cinta', 'olahraga', 'gaya', 'hidup', 'sehat', 'kali', 'sempat', 'mereview', 'jam', 'tangan', 'pintar', 'seri', 'bip', 'pro']"
12,"Cara Membuat NGL Link di Instagram, Ternyata Gampang Banget!","Senin, 27 Juni 2022 - 08:30 WIB",TELCO,cara membuat ngl link di instagram bisa dilakukan dengan mudah ngl anonymous qa memang sedang jadi tren belakangan ini,"['cara', 'membuat', 'ngl', 'link', 'di', 'instagram', 'bisa', 'dilakukan', 'dengan', 'mudah', 'ngl', 'anonymous', 'qa', 'memang', 'sedang', 'jadi', 'tren', 'belakangan', 'ini']",<FreqDist with 18 samples and 19 outcomes>,"['ngl', 'link', 'instagram', 'mudah', 'ngl', 'anonymous', 'qa', 'tren']","['ngl', 'link', 'instagram', 'mudah', 'ngl', 'anonymous', 'qa', 'tren']","['ngl', 'link', 'instagram', 'mudah', 'ngl', 'anonymous', 'qa', 'tren']"
13,"Kode Redeem FF Free Fire Senin 27 Juni 2022, Klaim Agar Senin Pagi Lebih Ceria","Senin, 27 Juni 2022 - 08:06 WIB",GAMES,kode redeem ff free fire senin juni lebih menarik karena pemain bisa mendapat banyak sekali item gratis yang bisa digunakan,"['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'lebih', 'menarik', 'karena', 'pemain', 'bisa', 'mendapat', 'banyak', 'sekali', 'item', 'gratis', 'yang', 'bisa', 'digunakan']",<FreqDist with 19 samples and 20 outcomes>,"['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'senin', 'juni', 'tarik', 'main', 'item', 'gratis']"
14,Google Chrome Hadirkan 5 Fitur Penting Terbaru untuk iOS,"Minggu, 26 Juni 2022 - 19:01 WIB",TELCO,google chrome bukan hanya perangkat desktop terbesar di dunia tapi juga perangkat seluler yang paling populer hal itu membuat google terus berupaya untuk menghadirkan fiturfitur menarik,"['google', 'chrome', 'bukan', 'hanya', 'perangkat', 'desktop', 'terbesar', 'di', 'dunia', 'tapi', 'juga', 'perangkat', 'seluler', 'yang', 'paling', 'populer', 'hal', 'itu', 'membuat', 'google', 'terus', 'berupaya', 'untuk', 'menghadirkan', 'fiturfitur', 'menarik']",<FreqDist with 24 samples and 26 outcomes>,"['google', 'chrome', 'perangkat', 'desktop', 'terbesar', 'dunia', 'perangkat', 'seluler', 'populer', 'google', 'berupaya', 'menghadirkan', 'fiturfitur', 'menarik']","['google', 'chrome', 'perangkat', 'desktop', 'terbesar', 'dunia', 'perangkat', 'seluler', 'populer', 'google', 'berupaya', 'menghadirkan', 'fiturfitur', 'menarik']","['google', 'chrome', 'perangkat', 'desktop', 'besar', 'dunia', 'perangkat', 'seluler', 'populer', 'google', 'upaya', 'hadir', 'fiturfitur', 'tarik']"
15,"Digemari Masyarakat, Vinero Indonesia Juara Kategori Top Brand Products Winner 2022","Minggu, 26 Juni 2022 - 16:32 WIB",TELCO,vinero indonesia baru saja menyabet penghargaan di indonesia award magazine sebagai top brand products winner,"['vinero', 'indonesia', 'baru', 'saja', 'menyabet', 'penghargaan', 'di', 'indonesia', 'award', 'magazine', 'sebagai', 'top', 'brand', 'products', 'winner']",<FreqDist with 14 samples and 15 outcomes>,"['vinero', 'indonesia', 'menyabet', 'penghargaan', 'indonesia', 'award', 'magazine', 'top', 'brand', 'products', 'winner']","['vinero', 'indonesia', 'menyabet', 'penghargaan', 'indonesia', 'award', 'magazine', 'top', 'brand', 'products', 'winner']","['vinero', 'indonesia', 'sabet', 'harga', 'indonesia', 'award', 'magazine', 'top', 'brand', 'products', 'winner']"
16,Pornhub Diduga Melakukan PHK 70 Persen Karyawan,"Minggu, 26 Juni 2022 - 14:02 WIB",TELCO,situs pornografi terbesar di dunia pornhub terus mendapatkan kabar tidak sedap perusahaan yang dioperasikan oleh mindgeek tersebut dikabarkan telah merumahkan ribuan karyawan mereka,"['situs', 'pornografi', 'terbesar', 'di', 'dunia', 'pornhub', 'terus', 'mendapatkan', 'kabar', 'tidak', 'sedap', 'perusahaan', 'yang', 'dioperasikan', 'oleh', 'mindgeek', 'tersebut', 'dikabarkan', 'telah', 'merumahkan', 'ribuan', 'karyawan', 'mereka']",<FreqDist with 23 samples and 23 outcomes>,"['situs', 'pornografi', 'terbesar', 'dunia', 'pornhub', 'kabar', 'sedap', 'perusahaan', 'dioperasikan', 'mindgeek', 'dikabarkan', 'merumahkan', 'ribuan', 'karyawan']","['situs', 'pornografi', 'terbesar', 'dunia', 'pornhub', 'kabar', 'sedap', 'perusahaan', 'dioperasikan', 'mindgeek', 'dikabarkan', 'merumahkan', 'ribuan', 'karyawan']","['situs', 'pornografi', 'besar', 'dunia', 'pornhub', 'kabar', 'sedap', 'usaha', 'operasi', 'mindgeek', 'kabar', 'rumah', 'ribu', 'karyawan']"
17,"Kode Redeem FF Free Fire Minggu 26 Juni 2022, Ini Item yang Kamu Cari!","Minggu, 26 Juni 2022 - 13:20 WIB",GAMES,kode redeem ff free fire minggu juni lebih menarik karena pemain bisa mendapat banyak sekali item gratis yang bisa digunakan,"['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'lebih', 'menarik', 'karena', 'pemain', 'bisa', 'mendapat', 'banyak', 'sekali', 'item', 'gratis', 'yang', 'bisa', 'digunakan']",<FreqDist with 19 samples and 20 outcomes>,"['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'menarik', 'pemain', 'item', 'gratis']","['kode', 'redeem', 'ff', 'free', 'fire', 'minggu', 'juni', 'tarik', 'main', 'item', 'gratis']"
18,"460.000 Data Pribadi Penduduk Jepang Hilang, Ini Penyebabnya!","Minggu, 26 Juni 2022 - 06:03 WIB",TELCO,seorang karyawan hilangkan data pribadi milik hampir setengah juta penduduk sebuah kota di jepang karena mabuk sambil minumminum dengan rekan kerja,"['seorang', 'karyawan', 'hilangkan', 'data', 'pribadi', 'milik', 'hampir', 'setengah', 'juta', 'penduduk', 'sebuah', 'kota', 'di', 'jepang', 'karena', 'mabuk', 'sambil', 'minumminum', 'dengan', 'rekan', 'kerja']",<FreqDist with 21 samples and 21 outcomes>,"['karyawan', 'hilangkan', 'data', 'pribadi', 'milik', 'juta', 'penduduk', 'kota', 'jepang', 'mabuk', 'minumminum', 'rekan', 'kerja']","['karyawan', 'hilangkan', 'data', 'pribadi', 'milik', 'juta', 'penduduk', 'kota', 'jepang', 'mabuk', 'minumminum', 'rekan', 'kerja']","['karyawan', 'hilang', 'data', 'pribadi', 'milik', 'juta', 'duduk', 'kota', 'jepang', 'mabuk', 'minumminum', 'rekan', 'kerja']"
19,"Aktor Captain America Jadi Korban iOS 16, Terpaksa Pisah dengan iPhone Usang","Sabtu, 25 Juni 2022 - 15:03 WIB",GADGET,chris evans pemeran film captain america terpaksa berpisah dengan ponsel usang miliknya iphone  yang telah digunakan selama tujuh tahun,"['chris', 'evans', 'pemeran', 'film', 'captain', 'america', 'terpaksa', 'berpisah', 'dengan', 'ponsel', 'usang', 'miliknya', 'iphone', 'yang', 'telah', 'digunakan', 'selama', 'tujuh', 'tahun']",<FreqDist with 19 samples and 19 outcomes>,"['chris', 'evans', 'pemeran', 'film', 'captain', 'america', 'terpaksa', 'berpisah', 'ponsel', 'usang', 'miliknya', 'iphone', 'tujuh']","['chris', 'evans', 'pemeran', 'film', 'captain', 'america', 'terpaksa', 'berpisah', 'ponsel', 'usang', 'miliknya', 'iphone', 'tujuh']","['chris', 'evans', 'per', 'film', 'captain', 'america', 'paksa', 'pisah', 'ponsel', 'usang', 'milik', 'iphone', 'tujuh']"
